task,phase,arm,seed,samples,lr,prompts,group,batch,steps,initial_accuracy,final_accuracy,sample_auc,active_phase_seconds,job_seconds,output_tokens,mean_response_length,truncation_fraction,mixed_group_fraction,mean_training_reward,distinct_training_prompts,prompt_exposures,peak_allocated_gib,generation_seconds,training_seconds,weight_sync_seconds
gsm8k,screen,batch-256-sqrt,0,16384,4.242640687119286e-06,64,8,256,2,0.849609375,0.87890625,0.869873046875,444.329021692276,584.8708474636078,4744613,289.58819580078125,0.0009765625,0.39892578125,0.82666015625,2048,2048,54.75866937637329,231.68821263313293,205.47934651374817,7.1614625453948975
gsm8k,screen,group-16,0,16384,3e-06,32,16,128,4,0.849609375,0.87890625,0.861083984375,446.7753601074219,590.6705687046051,4657492,284.270751953125,0.00091552734375,0.583984375,0.79156494140625,1024,1024,55.02139186859131,229.5582242012024,210.1827049255371,7.034430980682373
gsm8k,screen,group-32,0,16384,3e-06,16,32,128,4,0.8515625,0.857421875,0.859619140625,453.96377658843994,593.1726930141449,4761418,290.6138916015625,0.00146484375,0.64453125,0.81402587890625,512,512,54.92998123168945,235.61220741271973,211.2759346961975,7.075634479522705
gsm8k,screen,group-4,0,16384,3e-06,128,4,128,4,0.84765625,0.859375,0.8671875,442.7657358646393,583.1951303482056,4533241,276.68707275390625,0.00128173828125,0.31396484375,0.805419921875,4096,4096,54.96019744873047,228.10763025283813,207.47702264785767,7.1810829639434814
gsm8k,screen,onpolicy-large,0,16384,3e-06,64,8,512,1,0.841796875,0.8828125,0.854736328125,455.4591500759125,600.7631270885468,5072983,309.63031005859375,0.00189208984375,0.45654296875,0.79852294921875,2048,2048,54.89707851409912,233.04130291938782,215.32976984977722,7.0880773067474365
gsm8k,screen,onpolicy-large-sqrt,0,16384,6e-06,64,8,512,1,0.849609375,0.853515625,0.86328125,454.3127462863922,600.0076570510864,5066780,309.251708984375,0.00201416015625,0.40087890625,0.82061767578125,2048,2048,54.87641477584839,234.2360770702362,212.9358320236206,7.1408371925354
gsm8k,screen,onpolicy-small,0,16384,3e-06,16,8,128,1,0.83984375,0.865234375,0.863525390625,610.4668550491333,817.9494247436523,4657275,284.25750732421875,0.0003662109375,0.3857421875,0.8287353515625,2048,2048,54.78150796890259,367.20078229904175,223.69270968437195,19.573363065719604
gsm8k,screen,split-2,0,16384,3e-06,32,8,128,2,0.845703125,0.845703125,0.84228515625,398.6177599430084,554.8415484428406,4218689,257.48834228515625,0.0010986328125,0.45751953125,0.79644775390625,2048,2048,54.70884656906128,183.78564858436584,203.62605452537537,11.206056833267212
gsm8k,screen,split-4,0,16384,3e-06,64,8,128,4,0.8515625,0.861328125,0.858642578125,454.91377353668213,595.803802728653,4973092,303.533447265625,0.0013427734375,0.42431640625,0.8133544921875,2048,2048,54.788522720336914,232.98313927650452,214.82827830314636,7.10235595703125
gsm8k,screen,split-8,0,16384,3e-06,128,8,128,8,0.85546875,0.86328125,0.85791015625,454.9209225177765,585.8464901447296,4696578,286.6563720703125,0.0015869140625,0.51123046875,0.777587890625,2048,2048,54.76212501525879,242.17809057235718,207.65405106544495,5.088780879974365
